YEAR,ID,HRS1,MARITAL,DIVORCE,SPWRKSTA,SPHRS1,CHILDS,AGE,EDUC,SPEDUC,SEX,RACE,RES16,REG16,RINCOME,REGION,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,ROMANCE,LIVEWITH,HAPPROM,WILLWED1,WILLWED2,SPHMEWRK,FAIRHWRK,EARNMORE,FAMFINAN,EARNMORE,TRADMOD,SHARESEP,EMOTEOTH,CHLDIDEL,PREMARSX,MENBEN,WOMENBEN,CHLDBEN,ALLBEN,NOONEBEN,PARTNERS,MATESEX
1996,1,,1,2,7,,0,79,12,12,1,1,6,2,,2,0,,,,,,,,,1,3,1,,1,1,1,1,,,1,1,1,1,2,0,
1996,2,40,5,,,,0,32,17,97,1,3,6,2,13,2,0,6,2,7,,,,,,,,,,,,,,8,4,,,,,,0,
1996,3,,3,,,,3,55,18,97,1,2,6,2,13,2,4,5,2,4,1,2,2,3,,,,,,,2,2,2,3,3,8,8,8,8,8,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,5,,4,,,,4,56,8,97,2,3,6,0,,2,1,2,3,7,,,,,,,,,,,,,,8,2,,,,,,0,
1996,6,35,4,,,,4,51,17,97,2,2,6,2,10,2,1,3,2,7,,,,,,,,,,,,,,2,2,,,,,,1,2
1996,7,40,4,,,,3,48,12,97,1,2,3,5,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,9,35,4,,,,0,40,13,97,2,2,6,2,11,2,0,4,2,7,2,,,,2,,,,,,1,1,2,2,2,2,1,1,2,2,2,1
1996,10,,4,,,,4,46,13,97,2,2,1,0,,2,1,,,,2,,,,1,,,,,,1,1,2,,,1,2,1,2,2,1,1
1996,11,55,5,,,,0,37,19,97,2,1,5,2,12,2,0,,,,2,,,,1,,,,,,2,2,1,,,1,2,1,2,2,2,1
1996,12,40,3,,,,0,43,16,97,2,1,5,2,12,2,2,3,3,5,,,,,,,,,,,,,,2,4,,,,,,1,1
1996,13,40,5,,,,0,45,16,97,2,1,6,2,12,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
1996,14,10,3,,,,0,44,13,97,1,1,6,2,,2,1,5,6,7,,,,,,,,,,,,,,2,4,,,,,,1,1
1996,15,,3,,,,1,53,16,97,2,1,3,1,10,2,0,3,3,7,2,,,,1,,,,,,2,2,2,0,4,1,1,1,1,1,2,2
1996,16,40,5,,,,0,31,16,97,1,1,6,0,2,2,4,3,2,2,2,,,,2,,,,,,2,1,1,4,4,1,2,2,2,2,1,1
1996,17,30,1,2,1,40,0,34,15,12,1,1,6,0,12,2,1,,,,,,,,,,,,4,,,,,,,,,,,,1,1
1996,18,55,5,,,,0,32,19,97,1,1,3,3,12,2,0,4,2,4,1,2,2,2,,,,,,,2,2,1,3,4,2,2,2,2,1,2,1
1996,19,35,1,1,1,40,0,44,13,16,1,2,1,0,10,2,0,3,4,3,,,,,,2,3,4,,4,2,2,2,2,4,2,2,2,1,2,3,1
